"Asutuse registrikood";"Asutuse nimi";"Avaldusel märgitud asutuse maakond";"Tegevusala";"Tegevusala (EMTAK 2)";"Tegevusala (EMTAK 2 kood)";"Hüvitise saajate arv";"Sh hüvitise saajad, kes saanud hüvitist ühe kuu eest";"Sh hüvitise saajad, kes saanud hüvitist kahe kuu eest";"Sh hüvitise saajad, kes saanud hüvitist kolme kuu eest";"Hüvitiste brutosumma EUR";"Hüvitiste kogukulu EUR"
80045703;"Mittetulundusühing Nukuteater LEPATRIINU";"Ida-Viru maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Loome-, kunsti- ja meelelahutustegevus";90;"-";"-";"-";"-";1302;1742,07
80200090;"Mittetulundusühing ""Nüpli külakeskus""";"Valga maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Sporditegevus ning lõbustus- ja vaba aja tegevused";93;"-";"-";"-";"-";1302;1742,07
80206840;"Arendus- ja karjäärikeskus A-PRIORI";"Harju maakond";"HARIDUS";"Haridus";85;"-";"-";"-";"-";1302;1742,07
80226574;"mittetulundusühing KULTUURISIDEMETE ÜHING ""THE WAY TO DANCE AGENCY""";"Harju maakond";"HARIDUS";"Haridus";85;"-";"-";"-";"-";1302;1742,07
80352115;"Mittetulundusühing MÕTLEN POSITIIVSELT";"Lääne-Viru maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Sporditegevus ning lõbustus- ja vaba aja tegevused";93;"-";"-";"-";"-";1302;1742,07
80368582;"Mustkunstiteater";"Harju maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Loome-, kunsti- ja meelelahutustegevus";90;"-";"-";"-";"-";1302;1742,07
80392020;"mittetulundusühing Liiv- art ühendus";"Harju maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Loome-, kunsti- ja meelelahutustegevus";90;"-";"-";"-";"-";1302;1742,07
80394987;"Mittetulundusühing FioreS";"Harju maakond";"HARIDUS";"Haridus";85;"-";"-";"-";"-";1302;1742,07
12306550;"EK AGENCY INC OÜ";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Peakontorite tegevus; juhtimisalane nõustamine";70;"-";"-";"-";"-";1301,51;1741,42
11178830;"X-Sport Baltic OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1301,2;1741
12288748;"STANKE TRANS OÜ";"Harju maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;"-";"-";"-";"-";1299,54;1738,78
10050163;"osaühing DRAFT";"Põlva maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Loome-, kunsti- ja meelelahutustegevus";90;"-";"-";"-";"-";1299,28;1738,43
12825125;"MVRent OÜ";"Harju maakond";"HALDUS- JA ABITEGEVUSED";"Rentimine ja kasutusrent";77;"-";"-";"-";"-";1298,92;1737,95
12519500;"Staariunistus OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1298,58;1737,5
11195900;"OÜ KÕNNO";"Harju maakond";"EHITUS";"Eriehitustööd";43;"-";"-";"-";"-";1298,28;1737,1
80063983;"Spordiklubi Leksi 44";"Harju maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Sporditegevus ning lõbustus- ja vaba aja tegevused";93;"-";"-";"-";"-";1297,86;1736,53
14821367;"JK Grupp OÜ";"Lääne-Viru maakond";"EHITUS";"Eriehitustööd";43;"-";"-";"-";"-";1296,52;1734,74
10479676;"osaühing Brando Consulting";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Muu kutse-, teadus- ja tehnikaalane tegevus";74;"-";"-";"-";"-";1296,3;1734,44
11105437;"Osaühing SHEMALAN";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Reklaamindus ja turu-uuringud";73;"-";"-";"-";"-";1295;1732,71
14102846;"Aurene Engineering OÜ";"Ida-Viru maakond";"EHITUS";"Eriehitustööd";43;"-";"-";"-";"-";1294,14;1731,56
11021910;"Osaühing Candy Boutique";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1293,05;1730,11
12807630;"Magrada OÜ";"Pärnu maakond";"TÖÖTLEV TÖÖSTUS";"Kemikaalide ja keemiatoodete tootmine";20;"-";"-";"-";"-";1293,02;1730,06
11440423;"Wermo Vara OÜ";"Võru maakond";"KINNISVARAALANE TEGEVUS";"Kinnisvaraalane tegevus";68;3;3;0;0;1292,82;1729,79
12964816;"Igavene Ilu OÜ";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1292,45;1729,3
10865758;"OÜ ARCERA";"Harju maakond";"VEONDUS JA LAONDUS";"Laondus ja veondust abistavad tegevusalad";52;3;0;3;0;1290,46;1726,64
11360121;"Tuisureisid OÜ";"Harju maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;"-";"-";"-";"-";1290,41;1726,56
14515191;"Elamus Invest OÜ";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;2;0;2;0;1290,26;1726,37
14442523;"Estivity OÜ";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1289,02;1724,71
12538609;"RE-SERVICES OÜ";"Võru maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1288,9;1724,54
11436982;"SV-HEISI OÜ";"Ida-Viru maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1288,78;1724,39
10456244;"Osaühing ARVO JUNTI büroo";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Juriidilised toimingud ja arvepidamine";69;"-";"-";"-";"-";1288,06;1723,42
11622437;"Silmad Pärani Kinni OÜ";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1286,6;1721,48
12006203;"OÜ Grema";"Jõgeva maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Juriidilised toimingud ja arvepidamine";69;"-";"-";"-";"-";1285,2;1719,6
11930245;"OÜ SPRINGFLOWERS KLL";"Harju maakond";"KINNISVARAALANE TEGEVUS";"Kinnisvaraalane tegevus";68;"-";"-";"-";"-";1284,62;1718,82
80208714;"Noorte ja Tudengite Rütmimuusika Organisatsioon";"Harju maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Loome-, kunsti- ja meelelahutustegevus";90;"-";"-";"-";"-";1284,6;1718,79
12117115;"OÜ Kingaabi";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Arvutite ning tarbeesemete ja kodutarvete parandus";95;"-";"-";"-";"-";1284,58;1718,77
12586790;"VKR Spedition OÜ";"Harju maakond";"VEONDUS JA LAONDUS";"Laondus ja veondust abistavad tegevusalad";52;"-";"-";"-";"-";1284,44;1718,58
14554877;"MPop OÜ";"Tartu maakond";"INFO JA SIDE";"Kinofilmide, videote ja telesaadete tootmine; helisalvestiste ja muusika kirjastamine";59;"-";"-";"-";"-";1283,34;1717,1
11203143;"OÜ HEKKARI VEOD";"Tartu maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;"-";"-";"-";"-";1282,6;1716,12
11956894;"Ravila Rauatööd OÜ";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Metalltoodete tootmine, v.a masinad ja seadmed";25;"-";"-";"-";"-";1282,3;1715,72
11202155;"Flinty OÜ";"Tartu maakond";"FINANTS- JA KINDLUSTUSTEGEVUS";"Finantsteenuste osutamine, v.a kindlustus ja pensionifondid";64;"-";"-";"-";"-";1281;1713,97
14412924;"ÜKSKÕIK BAAR OÜ";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;"-";"-";"-";"-";1280,77;1713,67
14109752;"Pruuna Mõis OÜ";"Lääne-Viru maakond";"KINNISVARAALANE TEGEVUS";"Kinnisvaraalane tegevus";68;"-";"-";"-";"-";1279,7;1712,24
10075542;"Osaühing Komfort-Stomatoloogia";"Harju maakond";"TERVISHOID JA SOTSIAALHOOLEKANNE";"Tervishoid";86;2;1;1;0;1279,54;1712,02
14611322;"FRAT FUND OÜ";"Harju maakond";"EHITUS";"Rajatiste ehitus";42;"-";"-";"-";"-";1278,82;1711,06
80356627;"Mittetulundusühing KOIT TANTSUKOOL";"Harju maakond";"HARIDUS";"Haridus";85;"-";"-";"-";"-";1278,21;1710,24
10032811;"OSAÜHING SEVIKE";"Ida-Viru maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;"-";"-";"-";"-";1277,92;1709,85
12359999;"Painter Proff OÜ";"Pärnu maakond";"EHITUS";"Eriehitustööd";43;"-";"-";"-";"-";1276,8;1708,36
14099152;"Leemekulbi liigutajad OÜ";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;"-";"-";"-";"-";1276,19;1707,55
11532757;"OÜ AVEKLA";"Harju maakond";"KINNISVARAALANE TEGEVUS";"Kinnisvaraalane tegevus";68;"-";"-";"-";"-";1276,18;1707,52
11135341;"osaühing AUTOELEKTER";"Tartu maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;"-";"-";"-";"-";1275,55;1706,69
12268848;"RMP. LEHTER OÜ";"Hiiu maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Juriidilised toimingud ja arvepidamine";69;"-";"-";"-";"-";1275,55;1706,69
11436350;"JELENA NOSSOVA";"Ida-Viru maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1274,96;1705,9
11644516;"Ragionato OÜ";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Peakontorite tegevus; juhtimisalane nõustamine";70;"-";"-";"-";"-";1274,56;1705,36
10271645;"osaühing ANNIMATSI";"Valga maakond";"MAJUTUS JA TOITLUSTUS";"Majutus";55;"-";"-";"-";"-";1274,47;1705,23
11962305;"Rennal OÜ";"Harju maakond";"EHITUS";"Hoonete ehitus";41;"-";"-";"-";"-";1274;1704,62
11292879;"Osaühing COLORMAIER";"Ida-Viru maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;"-";"-";"-";"-";1274;1704,61
80253689;"Mittetulundusühing Tipu Looduskool";"Viljandi maakond";"HARIDUS";"Haridus";85;"-";"-";"-";"-";1274;1704,61
14498423;"SM online group OÜ";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Peakontorite tegevus; juhtimisalane nõustamine";70;"-";"-";"-";"-";1273,8;1704,35
10232007;"OSAÜHING AUTOTUUR";"Harju maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;"-";"-";"-";"-";1272,76;1702,96
10493340;"OÜ MUUSIKA LADU";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;"-";"-";"-";"-";1272,54;1702,66
10518376;"Osaühing BTR LOGISTIC";"Ida-Viru maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;"-";"-";"-";"-";1272,3;1702,34
10607005;"OÜ Hektor";"Tartu maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;"-";"-";"-";"-";1270,76;1700,28
10669833;"OÜ AKTIVA KONSULT";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1270,76;1700,28
11543910;"OÜ KRYPMET";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Metalltoodete tootmine, v.a masinad ja seadmed";25;"-";"-";"-";"-";1270,76;1700,28
12538354;"MH massaaž OÜ";"Tartu maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1270,76;1700,28
12836689;"BW Grupp Invest OÜ";"Valga maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;"-";"-";"-";"-";1270,76;1700,28
14094045;"OÜ Fysiolution";"Valga maakond";"TERVISHOID JA SOTSIAALHOOLEKANNE";"Tervishoid";86;"-";"-";"-";"-";1270,76;1700,28
14925368;"LashyWorld OÜ";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1270,76;1700,28
14597183;"VALMERIA LILLED OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1270,75;1700,27
14699239;"A.H. Beauty OÜ";"Lääne-Viru maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;1;0;1;0;1270,74;1700,26
14120707;"BNC OÜ";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Muu kutse-, teadus- ja tehnikaalane tegevus";74;2;2;0;0;1270,74;1700,26
10810326;"Alfa-Tour OÜ";"Harju maakond";"HALDUS- JA ABITEGEVUSED";"Reisibüroode ja reisikorraldajate tegevus, reserveerimine ning sellega seotud tegevus";79;"-";"-";"-";"-";1270,74;1700,26
11444444;"DSComputers OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;"-";"-";"-";"-";1270,74;1700,26
11624078;"OÜ Orki";"Harju maakond";"KINNISVARAALANE TEGEVUS";"Kinnisvaraalane tegevus";68;"-";"-";"-";"-";1270,74;1700,26
12748034;"Studio ND NAILS OÜ";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1270,74;1700,26
14164418;"INV Konsult OÜ";"Saare maakond";"EHITUS";"Hoonete ehitus";41;"-";"-";"-";"-";1270,74;1700,26
14299184;"Hairify OÜ";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1270,74;1700,26
14401375;"Viispluss Paigaldus OÜ";"Harju maakond";"EHITUS";"Eriehitustööd";43;"-";"-";"-";"-";1270,74;1700,26
14441239;"Taavid Meedia OÜ";"Viljandi maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Reklaamindus ja turu-uuringud";73;"-";"-";"-";"-";1270,74;1700,26
14747926;"Elutee OÜ";"Harju maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;"-";"-";"-";"-";1270,74;1700,26
14820758;"Fostira OÜ";"Harju maakond";"INFO JA SIDE";"Kirjastamine";58;"-";"-";"-";"-";1270,74;1700,26
14829647;"OÜ RAHU";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;"-";"-";"-";"-";1270,74;1700,26
14844049;"Triplebow OÜ";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Reklaamindus ja turu-uuringud";73;"-";"-";"-";"-";1270,74;1700,26
11999455;"Osaühing Ranna Villa AV";"Pärnu maakond";"MAJUTUS JA TOITLUSTUS";"Majutus";55;"-";"-";"-";"-";1270;1699,26
14763291;"Drumstrans OÜ";"Harju maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;"-";"-";"-";"-";1269,8;1699
80223317;"Mittetulundusühing Continuous Action";"Harju maakond";"HARIDUS";"Haridus";85;"-";"-";"-";"-";1266,7;1694,84
10135913;"Osaühing Koorti Köösneritööd";"Tartu maakond";"TÖÖTLEV TÖÖSTUS";"Rõivatootmine";14;"-";"-";"-";"-";1265,98;1693,88
14529997;"TEZELT OÜ";"Harju maakond";"FINANTS- JA KINDLUSTUSTEGEVUS";"Finantsteenuste osutamine, v.a kindlustus ja pensionifondid";64;1;0;1;0;1265,72;1693,54
11659021;"RSK Project OÜ";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1264,3;1691,63
10087350;"Tulundusühistu Viirond";"Harju maakond";"KINNISVARAALANE TEGEVUS";"Kinnisvaraalane tegevus";68;"-";"-";"-";"-";1263,74;1690,88
80186220;"PEEDU KOOLI SELTS";"Tartu maakond";"TERVISHOID JA SOTSIAALHOOLEKANNE";"Sotsiaalhoolekanne majutuseta";88;"-";"-";"-";"-";1262,73;1689,53
12385399;"OÜ Cumlokok";"Harju maakond";"TERVISHOID JA SOTSIAALHOOLEKANNE";"Tervishoid";86;"-";"-";"-";"-";1260,78;1686,92
12539141;"OÜ YUNILINE EUROPE";"Tartu maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;"-";"-";"-";"-";1260,65;1686,75
10014440;"Osaühing Lekonti";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Metalltoodete tootmine, v.a masinad ja seadmed";25;"-";"-";"-";"-";1260;1685,88
11254330;"Osaühing Triocom";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Juriidilised toimingud ja arvepidamine";69;"-";"-";"-";"-";1260;1685,88
11694218;"OÜ OmaDisain";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Metalltoodete tootmine, v.a masinad ja seadmed";25;"-";"-";"-";"-";1260;1685,88
11982963;"Megasil Project OÜ";"Ida-Viru maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;"-";"-";"-";"-";1260;1685,88
12400615;"SÕK Agritec OÜ";"Saare maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;"-";"-";"-";"-";1260;1685,88
14380348;"Helesar OÜ";"Harju maakond";"TERVISHOID JA SOTSIAALHOOLEKANNE";"Tervishoid";86;"-";"-";"-";"-";1260;1685,88
14440731;"KLEEBIMEES OÜ";"Harju maakond";"EHITUS";"Eriehitustööd";43;"-";"-";"-";"-";1260;1685,88
14591140;"Teie Lukumees OÜ";"Rapla maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1260;1685,88
12326089;"Autostaap OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;"-";"-";"-";"-";1259,32;1684,98
12857602;"Beton Building OÜ";"Harju maakond";"EHITUS";"Eriehitustööd";43;"-";"-";"-";"-";1258,4;1683,74
11675362;"ClobexPlus OÜ";"Ida-Viru maakond";"VEONDUS JA LAONDUS";"Laondus ja veondust abistavad tegevusalad";52;"-";"-";"-";"-";1258;1683,2
14876718;"Leokikala OÜ";"Tartu maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1257,83;1682,98
14179770;"Käär salongid OÜ";"Tartu maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1257,25;1682,2
14008436;"Rectus Group OÜ";"Harju maakond";"EHITUS";"Eriehitustööd";43;"-";"-";"-";"-";1256,57;1681,29
10509101;"Osaühing Casa Consulting";"Tartu maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Peakontorite tegevus; juhtimisalane nõustamine";70;"-";"-";"-";"-";1255,6;1680
11792808;"OÜ Benelink";"Harju maakond";"EHITUS";"Eriehitustööd";43;"-";"-";"-";"-";1255,22;1679,48
12079863;"Tehnolabor OÜ";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Arhitekti- ja inseneritegevused; teimimine ja analüüs";71;"-";"-";"-";"-";1254,47;1678,48
10135528;"osaühing AMORT";"Jõgeva maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Muu kutse-, teadus- ja tehnikaalane tegevus";74;"-";"-";"-";"-";1252,34;1675,64
12834130;"K-Diamonds OÜ";"Võru maakond";"HALDUS- JA ABITEGEVUSED";"Büroohaldus, büroode ja muu äritegevuse abitegevused";82;"-";"-";"-";"-";1251,67;1674,73
14365076;"Viva Media Group OÜ";"Harju maakond";"INFO JA SIDE";"Programmeerimine, konsultatsioonid jms tegevused";62;"-";"-";"-";"-";1250,91;1673,72
12699258;"T.S.M. OÜ";"Tartu maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1250,56;1673,24
10998040;"osaühing Liimeister";"Saare maakond";"TÖÖTLEV TÖÖSTUS";"Puidutöötlemine ning puit- ja korktoodete tootmine, v.a mööbel; õlest ja punumismaterjalist toodete tootmine";16;"-";"-";"-";"-";1249,75;1672,16
14001836;"WT-Security OÜ";"Harju maakond";"EHITUS";"Eriehitustööd";43;"-";"-";"-";"-";1249,54;1671,89
12095170;"HT-Sails OÜ";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Tekstiilitootmine";13;"-";"-";"-";"-";1248,88;1671
80276868;"Saunja Loodushariduskeskus";"Lääne maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Teadus- ja arendustegevus";72;"-";"-";"-";"-";1248,48;1670,46
10364234;"OÜ Tinko";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1248,33;1670,27
12952183;"Kivorre Kinnisvara OÜ";"Pärnu maakond";"KINNISVARAALANE TEGEVUS";"Kinnisvaraalane tegevus";68;"-";"-";"-";"-";1247,55;1669,22
11258470;"CAREER OÜ";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Juriidilised toimingud ja arvepidamine";69;"-";"-";"-";"-";1246,65;1668,02
10940891;"OÜ Tulem RP";"Rapla maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Juriidilised toimingud ja arvepidamine";69;"-";"-";"-";"-";1246;1667,15
10238286;"Osaühing Graden Kaup";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1246;1667,14
10927123;"Osaühing PUIDUVEDU";"Lääne-Viru maakond";"PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK";"Metsamajandus ja metsavarumine";2;"-";"-";"-";"-";1246;1667,14
11542916;"Bassimees Kelp OÜ";"Harju maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Loome-, kunsti- ja meelelahutustegevus";90;"-";"-";"-";"-";1246;1667,14
14170823;"AStroi Group OÜ";"Harju maakond";"EHITUS";"Eriehitustööd";43;"-";"-";"-";"-";1246;1667,14
14424040;"Uusweb OÜ";"Harju maakond";"INFO JA SIDE";"Infoalane tegevus";63;"-";"-";"-";"-";1246;1667,14
12728818;"POP Kaubandus OÜ";"Harju maakond";"KINNISVARAALANE TEGEVUS";"Kinnisvaraalane tegevus";68;"-";"-";"-";"-";1245,45;1666,41
10006328;"Osaühing Matten";"Jõgeva maakond";"EHITUS";"Eriehitustööd";43;"-";"-";"-";"-";1244,92;1665,7
14361635;"TONI MEDIA OÜ";"Tartu maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Muu kutse-, teadus- ja tehnikaalane tegevus";74;"-";"-";"-";"-";1243,27;1663,5
12796004;"Culstone Group OÜ";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Muu tootmine";32;"-";"-";"-";"-";1242,08;1661,91
10818977;"OSAÜHING NORDGRUPP";"Harju maakond";"EHITUS";"Eriehitustööd";43;"-";"-";"-";"-";1239;1657,78
12036434;"Dr. Noot Hambaravi OÜ";"Harju maakond";"TERVISHOID JA SOTSIAALHOOLEKANNE";"Tervishoid";86;"-";"-";"-";"-";1238,47;1657,08
10420140;"Osaühing Männikson HT";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;"-";"-";"-";"-";1237,07;1655,2
11137894;"OÜ LIIVARADA";"Jõgeva maakond";"PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK";"Metsamajandus ja metsavarumine";2;"-";"-";"-";"-";1235,68;1653,34
12679066;"Laste õue loovuskeskus OÜ";"Harju maakond";"HARIDUS";"Haridus";85;"-";"-";"-";"-";1235,42;1652,99
14633648;"360 Hydra OÜ";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Reklaamindus ja turu-uuringud";73;"-";"-";"-";"-";1234,94;1652,35
12508100;"KJ Finants OÜ";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Juriidilised toimingud ja arvepidamine";69;"-";"-";"-";"-";1234,72;1652,06
10219225;"Osaühing Fesken";"Harju maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;3;3;0;0;1233,55;1650,49
10114526;"Osaühing Romold";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;1;0;1;0;1232,94;1649,68
14569695;"SFC OÜ";"Tartu maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;"-";"-";"-";"-";1232,77;1649,44
14411178;"KaUr Transport OÜ";"Harju maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;"-";"-";"-";"-";1232,42;1648,98
11334885;"Osaühing EIKI REISID";"Ida-Viru maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;"-";"-";"-";"-";1232,4;1648,96
80551866;"Tantsu ja Spordiklubi MM13";"Pärnu maakond";"HARIDUS";"Haridus";85;"-";"-";"-";"-";1231;1647,08
12831309;"Baltic Floc Estonia OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;"-";"-";"-";"-";1230,41;1646,29
